origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,Suiynbay-55,2025-01-01 00:00:00,DUCDW6700,,74.24,88.52884530606933,,,43.37664309140991,76.99055491708968,Түрксіб ауданы,Турксибский район,True,,2025,1,1,0,False
Clarity Node,clarity,"Road, Almaty Industrial Zone",2025-01-01 00:00:00,DXKUV4229,,79.06,70.1334831340503,,,43.316523,76.804295,Алатау ауданы,Алатауский район,True,,2025,1,1,0,False
Clarity Node,clarity,KBTU,2025-01-01 00:00:00,DPFLR0020,213.17,123.17,83.70169353043313,,,43.25347876621724,76.94536842109201,Алмалы ауданы,Алмалинский район,True,288.0,2025,1,1,0,False
Clarity Node,clarity,Ryskulova 81,2025-01-01 00:00:00,DLNAU6990,144.93,83.13,58.87634154144695,,,43.27865455271868,76.90347457672107,Жетісу ауданы,Жетысуский район,True,220.0,2025,1,1,0,False
Clarity Node,clarity,School 160,2025-01-01 00:00:00,DJRCU0330,119.12,72.66,96.4684849061505,,,43.335836109307266,76.91287406657065,Алатау ауданы,Алатауский район,True,196.0,2025,1,1,0,False
Clarity Node,clarity,School 186,2025-01-01 00:00:00,DRAJE5023,36.13,24.61,58.578139115152815,,,43.19147922175904,76.80283567546141,Наурызбай ауданы,Наурызбайский район,True,103.0,2025,1,1,0,False
Clarity Node,clarity,Alatau,2025-01-01 00:00:00,DAEVK9013,13.49,12.87,44.65581333754571,,,43.176578104286946,76.89770583884861,Бостандық ауданы,Бостандыкский район,True,59.0,2025,1,1,0,False
Clarity Node,clarity,Atyrau 54,2025-01-01 00:00:00,DLHIP6221,112.57,72.74,75.18428672940709,,,43.29677960017615,76.99158959609676,Медеу ауданы,Медеуский район,True,191.0,2025,1,1,0,False
Clarity Node,clarity,CHP,2025-01-01 00:00:00,DNBKW4153,129.93,87.55,82.30386965717939,,,43.29161420999885,76.80436756266862,Алатау ауданы,Алатауский район,True,205.0,2025,1,1,0,False
Clarity Node,clarity,Elaman 105 St.,2025-01-01 00:00:00,DCBVW2970,65.12,44.5,58.764515631586654,,,43.368606872490815,76.94705072701963,Жетісу ауданы,Жетысуский район,True,158.0,2025,1,1,0,False
Clarity Node,clarity,AsiaFood,2025-01-01 00:00:00,DKITU2463,225.28,147.24,93.43054768827906,,,43.24283186562071,76.82871773078021,Ауэзовский район,Ауэзовский район,True,300.0,2025,1,1,0,False
Clarity Node,clarity,Shamiyeva St.,2025-01-01 00:00:00,DZBPD6527,246.03,147.37,92.21910033145916,,,43.283229322033016,76.92753219053208,Жетісу ауданы,Жетысуский район,True,316.0,2025,1,1,0,False
Clarity Node,clarity,School 187,2025-01-01 00:00:00,DTHVZ4764,36.55,31.85,82.22931905060588,,,43.18579430712143,76.82847702612057,Наурызбай ауданы,Наурызбайский район,True,104.0,2025,1,1,0,False
Clarity Node,clarity,Hospital-7,2025-01-01 00:00:00,DWEUM2128,277.96,149.66,100.81105773905874,,,43.23396107591564,76.80012719631037,Наурызбай ауданы,Наурызбайский район,True,339.0,2025,1,1,0,False
Clarity Node,clarity,Zhetysu 47,2025-01-01 00:00:00,DKQKP7937,136.76,85.81,52.1295116465423,,,43.29170729096677,76.98979982475333,Медеу ауданы,Медеуский район,True,212.0,2025,1,1,0,False
Clarity Node,clarity,Kokzhiyek-63,2025-01-01 00:00:00,DSEZC5147,157.56,86.37,54.58968166346885,,,43.35813359109591,76.92289958238688,Жетісу ауданы,Жетысуский район,True,233.0,2025,1,1,0,False
Clarity Node,clarity,Nurly street,2025-01-01 00:00:00,DKJRK1841,24.31,21.11,60.851932615645545,,,43.22880425521485,76.7774914696639,Наурызбай ауданы,Наурызбайский район,True,79.0,2025,1,1,0,False
Clarity Node,clarity,Iliyski trakt,2025-01-01 00:00:00,DMKZM8328,201.17,98.18,23.036137431221412,,,43.34158170973398,76.98192511971963,Түрксіб ауданы,Турксибский район,True,276.0,2025,1,1,0,False
Clarity Node,clarity,Kokkainar Micro,2025-01-01 00:00:00,DAIFK5203,198.12,113.31,95.05202338125338,,,43.290757,76.841229,Алатау ауданы,Алатауский район,True,273.0,2025,1,1,0,False
Clarity Node,clarity,Respublika 4,2025-01-01 00:00:00,DKWGL5134,82.79,56.13,39.51182148397199,,,43.23680399999999,76.94481400000001,Бостандық ауданы,Бостандыкский район,True,170.0,2025,1,1,0,False
Clarity Node,clarity,Nicolas International chain of wineries,2025-01-01 00:00:00,DMMMH0420,65.33,52.58,46.25865137887665,,,43.19364967260028,76.90962542469542,Бостандық ауданы,Бостандыкский район,True,158.0,2025,1,1,0,False
Clarity Node,clarity,DIS-7,2025-01-01 00:00:00,DSPPD2123,220.14,145.05,64.41172407953172,,,43.205327130825815,76.7769168478819,Наурызбай ауданы,Наурызбайский район,True,295.0,2025,1,1,0,False
Clarity Node,clarity,School 175,2025-01-01 00:00:00,DSCQS5741,21.33,22.06,77.49535553318658,,,43.19957298448716,76.85428363117835,Ауэзовский район,Ауэзовский район,True,74.0,2025,1,1,0,False
Clarity Node,clarity,Gymnasium 39,2025-01-01 00:00:00,DCHRY4320,81.87,52.68,78.76271584493662,,,43.3481851029586,76.843300856246,Алатау ауданы,Алатауский район,True,169.0,2025,1,1,0,False
Clarity Node,clarity,Ritz Palace,2025-01-01 00:00:00,DWGII9341,47.01,36.66,74.34559240545485,,,43.22832883695745,76.9602836930437,Медеу ауданы,Медеуский район,True,129.0,2025,1,1,0,False
Reference Site,clarity,Almaty,2025-01-01 00:00:00,DXDVD8324,66.0,,,,,43.252855,76.93118,Алмалы ауданы,Алмалинский район,True,158.0,2025,1,1,0,False
Clarity Node,clarity,Ippodrom,2025-01-01 00:00:00,DXJDB8112,32.81,22.88,75.35202559419753,,,43.30777990786845,76.92324250852016,Жетісу ауданы,Жетысуский район,True,95.0,2025,1,1,0,False
Clarity Node,clarity,School 190,2025-01-01 00:00:00,DIWEV3860,24.42,19.06,73.65599929464969,,,43.15475667376976,76.89920068011332,Бостандық ауданы,Бостандыкский район,True,80.0,2025,1,1,0,False
Clarity Node,clarity,School 77,2025-01-01 00:00:00,DRGXK4758,22.13,21.25,63.33074028421549,,,43.218464378811994,76.94964360143646,Медеу ауданы,Медеуский район,True,75.0,2025,1,1,0,False
