datetime,PM2_5,PM10,SO2,CO,NO2,NO,station,O3,year,month,day,hour
2024-03-01 00:00:00,,,,0.9319,0.0298,0.005,27,,2024,3,1,0
2024-03-01 00:00:00,0.0004,0.0004,0.0816,0.011,0.071,0.0251,28,0.0003,2024,3,1,0
2024-03-01 00:00:00,0.0047,0.0453,0.0001,0.0325,0.06,0.0285,29,,2024,3,1,0
2024-03-01 00:00:00,0.0014,0.0018,0.0005,0.7881,0.1411,0.0028,30,0.2081,2024,3,1,0
2024-03-01 00:00:00,0.0524,0.0513,0.0,0.0108,0.1913,0.0969,31,0.0047,2024,3,1,0
2024-03-01 00:00:00,,,0.0467,1.4238,0.0894,,AQM 1,0.001,2024,3,1,0
2024-03-01 00:00:00,,,0.0543,1.0842,0.1194,,AQM 12,0.001,2024,3,1,0
2024-03-01 00:00:00,,,0.0242,1.2559,0.091,,AQM25,0.0098,2024,3,1,0
2024-03-01 00:00:00,0.1222,0.1246,0.0042,0.726,0.0299,0.0062,Скат-1,,2024,3,1,0
2024-03-01 00:00:00,0.2214,0.2214,0.0052,0.2102,0.1198,0.0815,Скат-3,,2024,3,1,0
2024-03-01 00:00:00,0.001,0.0012,0.0006,0.3881,0.0009,0.0008,Скат-4,,2024,3,1,0
2024-03-01 00:00:00,,,0.0041,1.7314,0.2114,0.188,Скат-5,,2024,3,1,0
2024-03-01 00:00:00,0.0018,0.0451,0.0789,0.7209,0.0172,0.0031,Скат-6,,2024,3,1,0
2024-03-01 00:00:00,,,,0.6768,,,Скат2,,2024,3,1,0
2024-03-01 00:20:00,,,,1.0233,0.0307,0.008,27,,2024,3,1,0
2024-03-01 00:20:00,0.0004,0.0004,0.0817,0.011,0.0667,0.0207,28,0.0003,2024,3,1,0
2024-03-01 00:20:00,0.0048,0.0458,0.0001,0.0354,0.0585,0.0255,29,,2024,3,1,0
2024-03-01 00:20:00,0.0013,0.0015,0.0005,0.7881,0.1419,0.0026,30,0.2131,2024,3,1,0
2024-03-01 00:20:00,0.058,0.0574,0.0,0.0108,0.1462,0.0348,31,0.005,2024,3,1,0
2024-03-01 00:20:00,,,0.0471,1.4567,0.0899,,AQM 1,0.001,2024,3,1,0
2024-03-01 00:20:00,,,0.0522,1.0237,0.1171,,AQM 12,0.001,2024,3,1,0
2024-03-01 00:20:00,,,0.0271,1.2369,0.0894,,AQM25,0.0115,2024,3,1,0
2024-03-01 00:20:00,0.1236,0.1255,0.003,0.6047,0.0298,0.0035,Скат-1,,2024,3,1,0
2024-03-01 00:20:00,0.2145,0.2157,0.0054,0.0051,0.1148,0.0848,Скат-3,,2024,3,1,0
2024-03-01 00:20:00,0.001,0.0012,0.0006,0.462,0.0009,0.0007,Скат-4,,2024,3,1,0
2024-03-01 00:20:00,,,0.0034,1.3559,0.1821,0.1117,Скат-5,,2024,3,1,0
2024-03-01 00:20:00,0.0047,0.0495,0.0789,0.7228,0.0172,0.003,Скат-6,,2024,3,1,0
2024-03-01 00:20:00,,,,0.677,,,Скат2,,2024,3,1,0
2024-03-01 00:40:00,,,,1.031,0.0299,0.0078,27,,2024,3,1,0
2024-03-01 00:40:00,0.0005,0.0004,0.0817,0.0109,0.0629,0.0147,28,0.0003,2024,3,1,0
2024-03-01 00:40:00,0.0053,0.0427,0.0001,0.0341,0.055,0.0218,29,,2024,3,1,0
2024-03-01 00:40:00,0.0014,0.0016,0.0005,0.79,0.1402,0.0025,30,0.213,2024,3,1,0
2024-03-01 00:40:00,0.0526,0.052,0.0,0.0108,0.1437,0.0369,31,0.0052,2024,3,1,0
2024-03-01 00:40:00,,,0.0492,1.1467,0.0874,,AQM 1,0.001,2024,3,1,0
2024-03-01 00:40:00,,,0.0543,0.987,0.1159,,AQM 12,0.001,2024,3,1,0
2024-03-01 00:40:00,,,0.0333,1.0425,0.0872,,AQM25,0.0135,2024,3,1,0
2024-03-01 00:40:00,0.1229,0.1248,0.0027,0.5216,0.0299,0.0028,Скат-1,,2024,3,1,0
2024-03-01 00:40:00,0.2163,0.2185,0.0059,0.0,0.1096,0.0669,Скат-3,,2024,3,1,0
2024-03-01 00:40:00,0.001,0.0012,0.0006,0.5292,0.0009,0.0008,Скат-4,,2024,3,1,0
2024-03-01 00:40:00,,,0.0035,1.4968,0.1953,0.1483,Скат-5,,2024,3,1,0
2024-03-01 00:40:00,0.0049,0.0505,0.0785,0.726,0.0174,0.0031,Скат-6,,2024,3,1,0
2024-03-01 00:40:00,,,,0.6764,,,Скат2,,2024,3,1,0
2024-03-01 01:00:00,,,,1.0545,0.0285,0.007,27,,2024,3,1,1
2024-03-01 01:00:00,0.0004,0.0004,0.0818,0.0108,0.0574,0.01,28,0.0003,2024,3,1,1
2024-03-01 01:00:00,0.0072,0.0441,0.0001,0.0415,0.0567,0.0242,29,,2024,3,1,1
2024-03-01 01:00:00,0.0017,0.0017,0.0005,0.7826,0.1449,0.0031,30,0.2044,2024,3,1,1
2024-03-01 01:00:00,0.0467,0.0455,0.0,0.0108,0.1195,0.012,31,0.0081,2024,3,1,1
2024-03-01 01:00:00,,,0.0503,1.122,0.0875,,AQM 1,0.001,2024,3,1,1
2024-03-01 01:00:00,,,0.0509,0.7662,0.1079,,AQM 12,0.001,2024,3,1,1
2024-03-01 01:00:00,,,0.0338,0.936,0.0855,,AQM25,0.0146,2024,3,1,1
2024-03-01 01:00:00,0.1216,0.1234,0.0022,0.5893,0.0304,0.0062,Скат-1,,2024,3,1,1
2024-03-01 01:00:00,0.1915,0.1912,0.0072,0.0,0.1056,0.028,Скат-3,,2024,3,1,1
2024-03-01 01:00:00,0.001,0.0012,0.0006,0.5967,0.0009,0.0007,Скат-4,,2024,3,1,1
2024-03-01 01:00:00,,,0.0032,1.5883,0.1988,0.1634,Скат-5,,2024,3,1,1
2024-03-01 01:00:00,0.0158,0.0542,0.0781,0.7356,0.0176,0.0032,Скат-6,,2024,3,1,1
2024-03-01 01:00:00,,,,0.6762,,,Скат2,,2024,3,1,1
2024-03-01 01:20:00,,,,1.1079,0.0262,0.0056,27,,2024,3,1,1
2024-03-01 01:20:00,0.0004,0.0004,0.0816,0.0108,0.0559,0.0088,28,0.0003,2024,3,1,1
2024-03-01 01:20:00,0.0038,0.0388,0.0001,0.0373,0.056,0.0224,29,,2024,3,1,1
2024-03-01 01:20:00,0.0008,0.001,0.0005,0.7615,0.1123,0.0026,30,0.2479,2024,3,1,1
2024-03-01 01:20:00,0.0401,0.0416,0.0,0.0108,0.0816,0.0033,31,0.0267,2024,3,1,1
2024-03-01 01:20:00,,,0.0502,1.0952,0.0866,,AQM 1,0.001,2024,3,1,1
2024-03-01 01:20:00,,,0.0457,0.6343,0.1017,,AQM 12,0.001,2024,3,1,1
2024-03-01 01:20:00,,,0.0293,1.1067,0.0886,,AQM25,0.0124,2024,3,1,1
2024-03-01 01:20:00,0.122,0.1237,0.0037,0.5846,0.0303,0.0056,Скат-1,,2024,3,1,1
2024-03-01 01:20:00,0.1924,0.1922,0.0058,0.0,0.1063,0.0551,Скат-3,,2024,3,1,1
2024-03-01 01:20:00,0.0009,0.0012,0.0006,0.4997,0.0009,0.0007,Скат-4,,2024,3,1,1
2024-03-01 01:20:00,,,0.0036,1.6371,0.1997,0.1677,Скат-5,,2024,3,1,1
