station,district,district_en,lat,lon
27,Алатауский,Alatau,43.27596,76.844797
28,Турксибский,Turksib,43.363824,77.00481
29,Турксибский,Turksib,43.337841,76.952018
30,Алатауский,Alatau,43.298842,76.851396
31,Бостандыкский,Bostandyq,43.180181,76.889563
AQM 1,Бостандыкский,Bostandyq,43.239134,76.933558
AQM 12,Жетысуский,Zhetysu,43.269373,76.934158
AQM25,Ауэзовский,Auezov,43.233186,76.832705
AQM26,Алмалинский,Almaly,43.250534,76.875831
Скат-1,Бостандыкский,Bostandyq,43.219968,76.926519
Скат-3,Алатауский,Alatau,43.258395,76.816426
Скат-4,Турксибский,Turksib,43.374198,76.99267
Скат-5,Медеуский,Medeu,43.288495,76.991443
Скат-6,Жетысуский,Zhetysu,43.30075,76.925961
Скат2,Бурундайское автохозяйство,Burundai,43.35624,76.876462
