"origin","source","name","datetime","id","pm25","aqi_pm25","pm10","no2","lat","lon","region","district","district_ru","is_valid"
AirKaz,airkaz,Каменское плато,2021-01-05 16:00:00.000,"12",14.22,61.0,15.48,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-21 14:00:00.000,"12",37.54,106.0,45.31,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-02-08 10:00:00.000,"12",26.03,83.0,61.05,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-27 22:00:00.000,"12",31.59,93.0,38.09,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-23 10:00:00.000,"12",46.02,127.0,55.05,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-23 04:00:00.000,"12",19.15,70.0,20.13,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-02-05 10:00:00.000,"12",21.08,73.0,21.52,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-14 22:00:00.000,"12",31.58,93.0,35.75,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-14 14:00:00.000,"12",70.25,161.0,93.22,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-13 22:00:00.000,"12",47.57,131.0,57.9,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-02-01 20:00:00.000,"12",43.57,121.0,53.73,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-01-04 06:00:00.000,"12",169.98,245.0,208.85,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-02-03 00:00:00.000,"12",25.9,82.0,27.47,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
AirKaz,airkaz,Каменское плато,2021-08-08 08:00:00.000,"12",3.52,20.0,20.62,,43.177,76.966,Алматы,Медеу ауданы,Медеуский район,true
