origin,source,name,datetime,id,pm25,aqi_pm25,pm10,no2,lat,lon,region,district,district_ru,is_valid
Clarity Node,clarity,Gymnasium 39,2024-06-10 11:00:00,DCHRY4320,13.6,59.0,9.69,26.61319609891083,43.3481851029586,76.843300856246,Алматы,Алатау ауданы,Алатауский район,True
Clarity Node,clarity,169 School,2024-06-29 10:00:00,DCRRQ3470,12.06,57.0,11.73,39.671034176621326,43.29713287788326,76.86110376445615,Алматы,Алатау ауданы,Алатауский район,True
Clarity Node,clarity,169 School,2024-06-11 07:00:00,DCRRQ3470,7.6,42.0,8.04,47.04943861915166,43.29713287788326,76.86110376445615,Алматы,Алатау ауданы,Алатауский район,True
Clarity Node,clarity,169 School,2024-06-30 01:00:00,DCRRQ3470,32.73,95.0,51.43,46.25148145534331,43.29713287788326,76.86110376445615,Алматы,Алатау ауданы,Алатауский район,True
Clarity Node,clarity,AsiaFood,2024-06-22 03:00:00,DKITU2463,8.44,47.0,8.92,39.313167558321744,43.24283186562071,76.82871773078021,Алматы,Ауэзовский район,Ауэзовский район,True
Clarity Node,clarity,Nurly street,2024-06-19 15:00:00,DKJRK1841,,,,33.46369971410011,43.22880425521485,76.7774914696639,Алматы,Наурызбай ауданы,Наурызбайский район,True
Clarity Node,clarity,Zhetysu 47,2024-06-19 19:00:00,DKQKP7937,13.65,59.0,15.12,50.60327034897094,43.29170729096677,76.98979982475333,Алматы,Медеу ауданы,Медеуский район,True
Clarity Node,clarity,Atyrau 54,2024-06-30 22:00:00,DLHIP6221,12.98,58.0,17.34,40.63485849983191,43.29677960017615,76.99158959609676,Алматы,Медеу ауданы,Медеуский район,True
Clarity Node,clarity,Atyrau 54,2024-06-30 19:00:00,DLHIP6221,6.9,38.0,10.18,51.87702491047278,43.29677960017615,76.99158959609676,Алматы,Медеу ауданы,Медеуский район,True
Clarity Node,clarity,Ryskulova 81,2024-06-10 23:00:00,DLNAU6990,15.29,63.0,16.48,49.78018244365021,43.27865455271868,76.90347457672107,Алматы,Жетісу ауданы,Жетысуский район,True
Clarity Node,clarity,Iliyski trakt,2024-06-01 11:00:00,DMKZM8328,7.62,42.0,7.73,5.13263897175787,43.34158170973398,76.98192511971963,Алматы,Түрксіб ауданы,Турксибский район,True
Clarity Node,clarity,CHP,2024-06-11 19:00:00,DNBKW4153,9.57,52.0,10.8,34.44609872849953,43.29161420999885,76.80436756266862,Алматы,Алатау ауданы,Алатауский район,True
Clarity Node,clarity,KBTU,2024-06-12 10:00:00,DPFLR0020,8.87,49.0,8.73,41.861208594747175,43.25347876621724,76.94536842109201,Алматы,Алмалы ауданы,Алмалинский район,True
Clarity Node,clarity,Almaty Arena,2024-06-18 09:00:00,DQIHB6321,11.18,55.0,11.77,29.63194160549784,43.26407854761793,76.81687957488205,Алматы,Алатау ауданы,Алатауский район,True
