origin,source,name,datetime,id,pm25,pm10,no2,so2,co,lat,lon,district,district_ru,is_valid,aqi_pm25,year,month,date,hour,is_weekend
Clarity Node,clarity,School 175,2025-08-01 00:00:00,DSCQS5741,,,28.206000137329102,,,43.19957298448716,76.85428363117835,Ауэзовский район,Ауэзовский район,True,,2025,8,1,0,False
Clarity Node,clarity,Ryskulova 81,2025-08-01 00:00:00,DLNAU6990,10.739999771118164,,54.37799835205078,,,43.27865455271868,76.90347457672107,Жетісу ауданы,Жетысуский район,True,54.0,2025,8,1,0,False
Clarity Node,clarity,"Road, Almaty Industrial Zone",2025-08-01 00:00:00,DXKUV4229,,,48.70799903869629,,,43.316523,76.804295,Алатау ауданы,Алатауский район,True,,2025,8,1,0,False
Clarity Node,clarity,School 192,2025-08-01 00:00:00,DXIUX1869,7.03000020980835,,25.541999244689944,,,43.172031,76.852339,Наурызбай ауданы,Наурызбайский район,True,39.0,2025,8,1,0,False
Reference Site,clarity,Almaty,2025-08-01 00:00:00,DXDVD8324,6.420000076293945,,,,,43.252855,76.93118,Алмалы ауданы,Алмалинский район,True,36.0,2025,8,1,0,False
Clarity Node,clarity,Kokkainar Micro,2025-08-01 00:00:00,DAIFK5203,16.739999771118164,,81.77400054931641,,,43.290757,76.841229,Алатау ауданы,Алатауский район,True,65.0,2025,8,1,0,False
Clarity Node,clarity,Nicolas International chain of wineries,2025-08-01 00:00:00,DMMMH0420,8.40999984741211,,46.85400123596192,,,43.19364967260028,76.90962542469542,Бостандық ауданы,Бостандыкский район,True,47.0,2025,8,1,0,False
Clarity Node,clarity,School 77,2025-08-01 00:00:00,DRGXK4758,3.299999952316284,,31.031999588012695,,,43.218464378811994,76.94964360143646,Медеу ауданы,Медеуский район,True,18.0,2025,8,1,0,False
Clarity Node,clarity,School 190,2025-08-01 00:00:00,DIWEV3860,3.180000066757202,,30.293999862670898,,,43.15475667376976,76.89920068011332,Бостандық ауданы,Бостандыкский район,True,18.0,2025,8,1,0,False
Clarity Node,clarity,Shamiyeva St.,2025-08-01 00:00:00,DZBPD6527,9.59000015258789,,67.06799697875977,,,43.283229322033016,76.92753219053208,Жетісу ауданы,Жетысуский район,True,52.0,2025,8,1,0,False
Clarity Node,clarity,Gymnasium 39,2025-08-01 00:00:00,DCHRY4320,10.649999618530272,,55.8,,,43.3481851029586,76.843300856246,Алатау ауданы,Алатауский район,True,54.0,2025,8,1,0,False
Clarity Node,clarity,Kotelnikova St.,2025-08-01 00:00:00,DVPAX1933,11.300000190734863,,70.8120002746582,,,43.31039688071044,76.94216898220436,Түрксіб ауданы,Турксибский район,True,55.0,2025,8,1,0,False
Clarity Node,clarity,Hospital-7,2025-08-01 00:00:00,DWEUM2128,9.899999618530272,,34.524000549316405,,,43.23396107591564,76.80012719631037,Наурызбай ауданы,Наурызбайский район,True,52.0,2025,8,1,0,False
Clarity Node,clarity,Ippodrom,2025-08-01 00:00:00,DXJDB8112,,,42.80400123596191,,,43.30777990786845,76.92324250852016,Жетісу ауданы,Жетысуский район,True,,2025,8,1,0,False
Clarity Node,clarity,Zhetysu 47,2025-08-01 00:00:00,DKQKP7937,9.050000190734863,,52.613999176025395,,,43.29170729096677,76.98979982475333,Медеу ауданы,Медеуский район,True,,2025,8,1,0,False
Clarity Node,clarity,AsiaFood,2025-08-01 00:00:00,DKITU2463,10.800000190734863,,50.50799903869629,,,43.24283186562071,76.82871773078021,Ауэзовский район,Ауэзовский район,True,54.0,2025,8,1,0,False
Clarity Node,clarity,Nurly street,2025-08-01 00:00:00,DKJRK1841,,,39.16800041198731,,,43.22880425521485,76.7774914696639,Наурызбай ауданы,Наурызбайский район,True,,2025,8,1,0,False
Clarity Node,clarity,DIS-7,2025-08-01 00:00:00,DSPPD2123,8.779999732971191,,39.25799903869629,,,43.205327130825815,76.7769168478819,Наурызбай ауданы,Наурызбайский район,True,49.0,2025,8,1,0,False
Clarity Node,clarity,Ritz Palace,2025-08-01 00:00:00,DWGII9341,7.610000133514404,,49.30199890136719,,,43.22832883695745,76.9602836930437,Медеу ауданы,Медеуский район,True,42.0,2025,8,1,0,False
Clarity Node,clarity,School 186,2025-08-01 00:00:00,DRAJE5023,,,29.033998489379883,,,43.19147922175904,76.80283567546141,Наурызбай ауданы,Наурызбайский район,True,,2025,8,1,0,False
Clarity Node,clarity,Atyrau 54,2025-08-01 00:00:00,DLHIP6221,9.079999923706056,,52.00199890136719,,,43.29677960017615,76.99158959609676,Медеу ауданы,Медеуский район,True,,2025,8,1,0,False
Clarity Node,clarity,Alatau,2025-08-01 00:00:00,DAEVK9013,6.820000171661377,,43.0560001373291,,,43.176578104286946,76.89770583884861,Бостандық ауданы,Бостандыкский район,True,38.0,2025,8,1,0,False
Clarity Node,clarity,KBTU,2025-08-01 00:00:00,DPFLR0020,,,48.2939998626709,,,43.25347876621724,76.94536842109201,Алмалы ауданы,Алмалинский район,True,,2025,8,1,0,False
Clarity Node,clarity,Kokzhiyek-63,2025-08-01 00:00:00,DSEZC5147,16.079999923706055,,44.06399917602539,,,43.35813359109591,76.92289958238688,Жетісу ауданы,Жетысуский район,True,64.0,2025,8,1,0,False
Clarity Node,clarity,Mamyr-3,2025-08-01 00:00:00,DAIEY0809,7.449999809265137,,30.725999450683595,,,43.21431008497455,76.85549980598847,Ауэзовский район,Ауэзовский район,True,41.0,2025,8,1,0,False
Clarity Node,clarity,Suiynbay-55,2025-08-01 00:00:00,DUCDW6700,,,66.32999725341797,,,43.37664309140991,76.99055491708968,Түрксіб ауданы,Турксибский район,True,,2025,8,1,0,False
Clarity Node,clarity,Iliyski trakt,2025-08-01 00:00:00,DMKZM8328,12.670000076293944,,49.392000961303715,,,43.34158170973398,76.98192511971963,Түрксіб ауданы,Турксибский район,True,58.0,2025,8,1,0,False
Clarity Node,clarity,Shkola-Gimnaziya 152,2025-08-01 00:00:00,DZSFT0997,,,26.280000686645508,,,43.30173409474243,76.87217086857771,Алатау ауданы,Алатауский район,True,,2025,8,1,0,False
Clarity Node,clarity,School 137,2025-08-01 00:00:00,DRXHW5169,12.289999961853027,,52.218000411987305,,,43.31676494629688,76.91083701308452,Жетісу ауданы,Жетысуский район,True,57.0,2025,8,1,0,False
Clarity Node,clarity,Elaman 105 St.,2025-08-01 00:00:00,DCBVW2970,16.8700008392334,,49.931999588012694,,,43.368606872490815,76.94705072701963,Жетісу ауданы,Жетысуский район,True,65.0,2025,8,1,0,False
Clarity Node,clarity,School 187,2025-08-01 00:00:00,DTHVZ4764,,,50.85,,,43.18579430712143,76.82847702612057,Наурызбай ауданы,Наурызбайский район,True,,2025,8,1,0,False
